,month,day_of_week,bike_ways,parks,stops,population,lat,long,temperature,Afternoon,Evening,Morning,Wee,station,label
1,7,5,0.8064516129032258,0.3333333333333333,0.8064516129032258,0.3177378533490179,49.28322689999999,-123.120523,25,0,0,1,0,0099 Vancouver Art Gallery - North Plaza,1
3,7,5,0.8064516129032258,0.3333333333333333,0.8064516129032258,0.3177378533490179,49.28322689999999,-123.120523,25,0,1,0,0,0099 Vancouver Art Gallery - North Plaza,2
5,7,5,0.3548387096774194,0.3333333333333333,0.3548387096774194,0.4794852600434891,49.2808764,-123.1306798,25,0,0,1,0,0126 Thurlow & Pendrell,2
13,7,5,0.3548387096774194,0.8333333333333334,0.3548387096774194,0.5234912487078031,49.27456600000001,-123.121817,25,0,0,1,0,0004 Yaletown-Roundhouse Station,1
21,7,5,0.7096774193548387,0.1666666666666666,0.7096774193548387,0.3177378533490179,49.282758,-123.122092,25,0,0,1,0,0019 Robson & Hornby,1
23,7,5,0.7096774193548387,0.1666666666666666,0.7096774193548387,0.3177378533490179,49.282758,-123.122092,25,0,1,0,0,0019 Robson & Hornby,2
49,7,5,0.913978494623656,0.3333333333333333,0.913978494623656,0.0,49.282409,-123.118541,25,0,0,1,0,0015 Granville & Georgia,1
73,7,5,0.2795698924731182,0.3333333333333333,0.2795698924731182,0.4794852600434891,49.283343,-123.1310991,25,0,0,1,0,0050 Bute & Comox,2
74,7,5,0.2795698924731182,0.3333333333333333,0.2795698924731182,0.4794852600434891,49.283343,-123.1310991,25,1,0,0,0,0050 Bute & Comox,2
81,7,5,0.6559139784946236,0.6666666666666666,0.6559139784946236,0.0454318611200228,49.285871,-123.12105,25,0,0,1,0,0002 Burrard Station,1
85,7,5,0.1182795698924731,0.3333333333333333,0.1182795698924731,0.48467187110113,49.2919089,-123.140713,25,0,0,1,0,0092 Chilco & Barclay,2
93,7,5,0.7204301075268817,0.5,0.7204301075268817,0.0454318611200228,49.28604199999999,-123.113176,25,0,0,1,0,0021 Cordova & Granville,1
121,7,5,0.2688172043010752,0.3333333333333333,0.2688172043010752,0.3064912843546145,49.26667,-123.1124141,25,0,0,1,0,0171 5th & Yukon,1
125,7,5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4017752112073575,49.264215,-123.117772,25,0,0,1,0,0008 8th & Ash,1
161,7,5,0.2795698924731182,0.1666666666666666,0.2795698924731182,0.4794852600434891,49.28222400000001,-123.132778,25,0,0,1,0,0187 Bute & Davie,2
165,7,5,0.2365591397849462,0.3333333333333333,0.2365591397849462,0.4794852600434891,49.28038489999999,-123.1354738,25,0,0,1,0,0088 Harwood & Bute,2
169,7,5,0.3118279569892473,0.3333333333333333,0.3118279569892473,0.3064912843546145,49.266724,-123.104824,25,0,0,1,0,0073 Ontario & 5th,1
174,7,5,0.2688172043010752,0.3333333333333333,0.2688172043010752,0.3180230278401597,49.262255,-123.126217,25,1,0,0,0,0112 10th & Oak,2
201,7,5,0.3010752688172043,1.0,0.3010752688172043,0.5234912487078031,49.275677,-123.1179745,25,0,0,1,0,0052 Cambie & Water,1
205,7,5,0.2150537634408602,0.5,0.2150537634408602,0.4794852600434891,49.285082,-123.1341942,25,0,0,1,0,0048 Comox & Broughton,2
225,7,5,0.3333333333333333,0.1666666666666666,0.3333333333333333,0.3064912843546145,49.26248700000001,-123.114397,25,0,0,1,0,0001 10th & Cambie,1
261,7,5,0.2043010752688172,0.5,0.2043010752688172,0.3180230278401597,49.269361,-123.13782,25,0,0,1,0,0066 Anderson & 2nd,1
265,7,5,0.8172043010752689,0.8333333333333334,0.8172043010752689,0.0454318611200228,49.28602,-123.116624,25,0,0,1,0,0024 Hornby & Pender,1
269,7,5,0.1935483870967742,0.6666666666666666,0.1935483870967742,0.48467187110113,49.28526,-123.141809,25,0,0,1,0,0060 Bidwell & Burnaby,2
281,7,5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4017752112073575,49.266675,-123.115634,25,0,0,1,0,0006 Olympic Village Station,1
293,7,5,0.3010752688172043,0.6666666666666666,0.3010752688172043,0.0454318611200228,49.289531,-123.1190718,25,0,0,1,0,0201 Shaw Tower,1
297,7,5,0.2365591397849462,0.8333333333333334,0.2365591397849462,0.48467187110113,49.28329,-123.137034,25,0,0,1,0,0087 Broughton & Burnaby,2
389,7,5,0.1290322580645161,0.1666666666666666,0.1290322580645161,0.3180230278401597,49.258819,-123.1313169,25,0,0,1,0,0211 14th & Alder,2
393,7,5,0.8494623655913979,0.5,0.8494623655913979,0.0454318611200228,49.2849623,-123.1192136,25,0,0,1,0,0089 Burrard & Drake,2
405,7,5,0.2150537634408602,0.1666666666666666,0.2150537634408602,0.3180230278401597,49.261742,-123.1314801,25,0,0,1,0,0166 Alder & 11th,2
421,7,5,0.2903225806451613,0.8333333333333334,0.2903225806451613,0.3177378533490179,49.27366299999999,-123.127075,25,0,0,1,0,0044 Pacific & Richards,2
425,7,5,0.3333333333333333,0.5,0.3333333333333333,0.4260863365771932,49.263518,-123.09568,25,0,0,1,0,0262 8th & Prince Edward,2
477,7,5,0.6559139784946236,0.6666666666666666,0.6559139784946236,0.4794852600434891,49.287097,-123.1185511,25,0,0,1,0,0016 Pender & Burrard,1
481,7,5,0.3548387096774194,0.6666666666666666,0.3548387096774194,0.4794852600434891,49.28762999999999,-123.127245,25,0,0,1,0,0207 Alberni & Jervis,2
617,7,5,0.2688172043010752,0.3333333333333333,0.2688172043010752,0.4794852600434891,49.2846045,-123.1291165,25,0,0,1,0,0300 Bute & Barclay,2
618,7,5,0.2688172043010752,0.3333333333333333,0.2688172043010752,0.4794852600434891,49.2846045,-123.1291165,25,1,0,0,0,0300 Bute & Barclay,2
633,7,5,0.7204301075268817,0.6666666666666666,0.7204301075268817,0.0454318611200228,49.2855518,-123.119399,25,0,0,1,0,0002 Burrard Station (Melville & Dunsmuir),1
737,7,5,0.3118279569892473,0.5,0.3118279569892473,0.4260863365771932,49.26524200000001,-123.095577,25,0,0,1,0,0297 6th & Prince Edward,2
805,7,5,0.1290322580645161,0.1666666666666666,0.1290322580645161,0.3180230278401597,49.258819,-123.1313169,25,0,0,1,0,0211 14th & Alder - TEMP REMOVED,2
